PROPERTY.GROUP,LATITUDE,LONGITUDE
2971,41.8968073,-87.62670546
3169,41.90300504,-87.66570654
3577,41.89792131,-87.69661302
3676,41.89855187,-87.6894982
3748,41.89932699,-87.69693873
3762,41.90268746,-87.71015342
3787,41.90232584,-87.7191301
3800,41.89951117,-87.72606207
3814,41.89705379,-87.72866161
3841,41.89851993,-87.75112585
3844,41.90011357,-87.746069
3845,41.89947836,-87.74667939
3882,41.90178912,-87.77186286
3921,41.90009663,-87.62535934
4027,41.90065231,-87.63419241
4081,41.90382818,-87.62890822
4094,41.90323618,-87.63220582
4097,41.90188637,-87.63300508
4100,41.90193588,-87.63341002
4177,41.90659829,-87.62862586
4198,41.90456512,-87.62985774
4208,41.90714922,-87.62993696
4357,41.90892604,-87.63478764
4422,41.9073099,-87.63953933
4459,41.90587736,-87.63857659
4467,41.90694652,-87.64074187
4476,41.90563968,-87.63910431
4511,41.90603827,-87.64829172
4619,41.90748303,-87.66288636
4748,41.90977371,-87.67674795
4832,41.9101316,-87.67758957
4990,41.90829257,-87.69221968
4996,41.90740311,-87.69068524
5059,41.90304313,-87.69584092
5087,41.90562859,-87.71134176
5128,41.90473388,-87.71047711
5137,41.9098353,-87.70714757
5197,41.90545564,-87.72841459
5203,41.90786477,-87.73396821
5241,41.90227453,-87.76397592
5247,41.90911404,-87.75703579
5261,41.90931569,-87.76165112
5868,41.91232995,-87.7020798
5891,41.91026783,-87.70372933
5983,41.91001905,-87.71882921
6009,41.91696685,-87.73335306
6035,41.90994878,-87.72978245
6084,41.91247343,-87.74669389
6090,41.90955748,-87.76551028
6096,41.90965803,-87.75948399
6097,41.9095751,-87.76162873
6099,41.90970961,-87.764374
6120,41.90938315,-87.77398969
6121,41.91109302,-87.76563076
6124,41.91482043,-87.77555967
6155,41.91918059,-87.63674525
6161,41.92112362,-87.63793673
6293,41.92323642,-87.64546116
6399,41.9199735,-87.65600393
6484,41.92383827,-87.66728675
6706,41.92381304,-87.69724202
6721,41.92196925,-87.69261763
6878,41.92419242,-87.70735082
6940,41.91753085,-87.71937389
6943,41.92095878,-87.72314793
6955,41.92439735,-87.72509437
7043,41.92404334,-87.75279509
7078,41.92302413,-87.79874259
7081,41.92363866,-87.80459805
7190,41.93103864,-87.64393564
7191,41.93140752,-87.64415515
7204,41.92840193,-87.64227493
7215,41.93249938,-87.64138408
7219,41.92568935,-87.64081666
7260,41.92826914,-87.64078108
7384,41.93011044,-87.65391981
7582,41.92916393,-87.70721389
7648,41.93191965,-87.70799052
7650,41.93162153,-87.71004354
7651,41.93157946,-87.71129632
7739,41.92785698,-87.72305441
7749,41.92469287,-87.72173766
7819,41.92438378,-87.73914434
7840,41.92913895,-87.75618703
7854,41.92815931,-87.75644498
7856,41.92963043,-87.75650017
